iter	Logloss
0	0.6833475405
1	0.6781248852
2	0.6732930408
3	0.6694206656
4	0.6659377984
5	0.6642284561
6	0.6623127206
7	0.6604099246
8	0.6586461754
9	0.6575550998
10	0.6564980659
11	0.6555094308
12	0.6545929085
13	0.6537082995
14	0.6527980083
15	0.6522470167
16	0.6517295121
17	0.6512138982
18	0.650737838
19	0.6502424767
20	0.6495914863
21	0.6492023087
22	0.648870407
23	0.6485893104
24	0.648196013
25	0.6479389505
26	0.6476572838
27	0.6473668601
28	0.6471536781
29	0.6469057149
30	0.6466560658
31	0.646437436
32	0.6462634559
33	0.6460634809
34	0.6457514773
35	0.64562146
36	0.6454557692
37	0.6452873967
38	0.6451415253
39	0.6450068927
40	0.6447931653
41	0.6446797538
42	0.6445534968
43	0.6444080337
44	0.6442634832
45	0.6441557645
46	0.6440256556
47	0.6438942583
48	0.6437904192
49	0.6436663836
50	0.6435634751
51	0.6434364738
52	0.6432918431
53	0.6431774586
54	0.6430787694
55	0.6429604087
56	0.6428609289
57	0.6427705469
58	0.6426736336
59	0.6425778324
60	0.6424668794
61	0.6423820692
62	0.6423070662
63	0.6421891004
64	0.6421134482
65	0.6420153767
66	0.6419428406
67	0.6418645628
68	0.6417637857
69	0.6417005172
70	0.64161951
71	0.6415412491
72	0.6414422061
73	0.6413655413
74	0.6412905845
75	0.6411893314
76	0.6410989642
77	0.6410075705
78	0.6409217068
79	0.6408379011
80	0.6407566594
81	0.6406755166
82	0.6405997564
83	0.6405232098
84	0.6404454185
85	0.6403746835
86	0.6402891735
87	0.6402045498
88	0.6401230069
89	0.6400468902
90	0.6399690085
91	0.6398964813
92	0.6398167821
93	0.6397368115
94	0.6396605159
95	0.6395862037
96	0.639503408
97	0.6394379874
98	0.639364467
99	0.6393036527
100	0.6392457304
101	0.6391912519
102	0.6391306699
103	0.6390548392
104	0.6389869576
105	0.6389106122
106	0.6388515627
107	0.6387804143
108	0.6387235366
109	0.6386194591
110	0.6385558905
111	0.6384806531
112	0.6384274986
113	0.6383644854
114	0.6382890517
115	0.6382213063
116	0.6381567145
117	0.6380984936
118	0.6380250617
119	0.6379646061
120	0.6379049437
121	0.6378466084
122	0.6377667463
123	0.6377074655
124	0.6376274531
125	0.637575839
126	0.6375179437
127	0.6374483271
128	0.6373845147
129	0.6373120408
130	0.6372477533
131	0.6371802682
132	0.6371142627
133	0.6370644312
134	0.6370046036
135	0.6369347886
136	0.636859948
137	0.6367982997
138	0.6367249928
139	0.6366580834
140	0.6365986607
141	0.6365354152
142	0.6364680369
143	0.636406023
144	0.6363415184
145	0.6362726921
146	0.6362111708
147	0.6361510706
148	0.6360836768
149	0.6360251915
150	0.6359573953
151	0.6358994383
152	0.6358404251
153	0.6357865077
154	0.6357326078
155	0.6356672665
156	0.6356117748
157	0.6355486346
158	0.6354926989
159	0.6354328029
160	0.6353695806
161	0.6353212159
162	0.6352477846
163	0.6351911628
164	0.6351267183
165	0.6350707106
166	0.6350167582
167	0.6349560657
168	0.6348910857
169	0.6348337054
170	0.6347751182
171	0.6347303161
172	0.6346663387
173	0.6346227228
174	0.6345728011
175	0.6345129523
176	0.6344708809
177	0.6344099045
178	0.6343561829
179	0.6342997827
180	0.6342429327
181	0.6341833911
182	0.6341236883
183	0.6340702233
184	0.6340172494
185	0.6339608647
186	0.6339018018
187	0.6338402236
188	0.633796567
189	0.6337316471
190	0.6336892427
191	0.6336519948
192	0.6335766845
193	0.6335221069
194	0.6334680566
195	0.6334131078
196	0.6333572835
197	0.6333084621
198	0.6332523737
199	0.6332002991
200	0.6331465833
201	0.6330939875
202	0.633047924
203	0.6329974665
204	0.632937101
