iter	Passed	Remaining
0	61	5819
1	65	3036
2	68	2105
3	72	1653
4	76	1370
5	79	1178
6	82	1037
7	85	932
8	89	851
9	92	785
10	95	730
11	98	683
12	101	643
13	105	608
14	108	578
15	111	550
16	114	526
17	117	504
18	121	484
19	124	465
20	127	448
21	130	432
22	133	418
23	136	404
24	139	391
25	143	379
26	146	368
27	149	357
28	152	347
29	155	337
30	158	328
31	162	319
32	165	310
33	168	302
34	171	294
35	174	286
36	178	279
37	181	272
38	184	265
39	188	259
40	191	252
41	194	245
42	198	239
43	201	233
44	204	226
45	207	221
46	210	215
47	214	209
48	217	204
49	220	198
50	224	193
51	227	187
52	230	182
53	233	177
54	236	172
55	240	167
56	243	162
57	247	157
58	250	152
59	253	148
60	256	143
61	260	138
62	263	133
63	266	129
64	270	124
65	273	120
66	276	115
67	279	111
68	282	106
69	286	102
70	289	97
71	293	93
72	296	89
73	299	85
74	302	80
75	306	76
76	309	72
77	312	68
78	315	63
79	319	59
80	322	55
81	326	51
82	329	47
83	332	43
84	335	39
85	338	35
86	342	31
87	345	27
88	348	23
89	351	19
90	355	15
91	358	11
92	361	7
93	364	3
94	367	0
